label,peak_rss_mb,baseline_rss_mb,delta_rss_mb,wall_seconds,date,rows_out,raw_mb,parquet_mb,frame_mb
ingest 2013-12-12,643.375,93.140625,550.234375,1.0062857089797035,2013-12-12,1439252,337.5345115661621,6.5820159912109375,19.21621322631836
ingest 2013-12-13,683.984375,658.0625,25.921875,0.7956023340229876,2013-12-13,1439293,335.17335319519043,6.578139305114746,19.216760635375977
ingest 2013-12-14,683.984375,683.953125,0.03125,0.690182458027266,2013-12-14,1439212,295.7156047821045,6.575124740600586,19.215679168701172
ingest 2013-12-15,679.234375,610.375,68.859375,0.6703385830041952,2013-12-15,1438921,282.91080379486084,6.576430320739746,19.211793899536133
ingest 2013-12-16,681.171875,681.140625,0.03125,0.7759578340337612,2013-12-16,1439258,326.79809951782227,6.575174331665039,19.216293334960938
ingest 2013-12-17,680.203125,679.234375,0.96875,0.7944496250129305,2013-12-17,1439276,334.8427095413208,6.579538345336914,19.216533660888672
ingest 2013-12-18,687.703125,671.453125,16.25,0.7950747500290163,2013-12-18,1439259,334.69829750061035,6.5778703689575195,19.216306686401367
ingest 2013-12-19,722.4375,642.40625,80.03125,0.8120452499715611,2013-12-19,1439277,339.91741466522217,6.577548027038574,19.2165470123291
ingest 2013-12-20,709.609375,645.25,64.359375,0.7880742920096964,2013-12-20,1439174,333.1728410720825,6.578444480895996,19.215171813964844
ingest 2013-12-21,709.625,709.578125,0.046875,0.7095965000335127,2013-12-21,1439078,299.0670213699341,6.574609756469727,19.213890075683594
ingest 2013-12-22,681.484375,680.390625,1.09375,0.6779037499800324,2013-12-22,1438633,287.05994510650635,6.570755958557129,19.207948684692383
ingest 2013-12-23,668.1875,668.15625,0.03125,0.7407027499866672,2013-12-23,1439058,311.48683166503906,6.576885223388672,19.213623046875
ingest 2013-12-24,667.78125,619.59375,48.1875,0.7430801250156946,2013-12-24,1438931,313.4286298751831,6.571971893310547,19.21192741394043
ingest 2013-12-25,665.859375,665.828125,0.03125,0.7458441670169123,2013-12-25,1438118,309.5505962371826,6.5650129318237305,19.201072692871094
ingest 2013-12-26,647.96875,647.9375,0.03125,0.6429149999748915,2013-12-26,1437733,268.0929145812988,6.563495635986328,19.195932388305664
ingest 2013-12-27,644.28125,637.609375,6.671875,0.6841124999918975,2013-12-27,1438605,289.26917934417725,6.572179794311523,19.20757484436035
ingest 2013-12-28,644.234375,644.203125,0.03125,0.655742916977033,2013-12-28,1438737,272.0941209793091,6.571587562561035,19.20933723449707
ingest 2013-12-29,633.65625,633.625,0.03125,0.6376968750264496,2013-12-29,1438004,264.6067228317261,6.561867713928223,19.19955062866211
ingest 2013-12-30,628.953125,621.921875,7.03125,0.6863319170079194,2013-12-30,1438743,286.62389087677,6.571565628051758,19.20941734313965
ingest 2013-12-31,629.359375,628.984375,0.375,0.7453460000106134,2013-12-31,1438736,309.1664628982544,6.568341255187988,19.20932388305664
ingest 2014-01-01,638.40625,623.734375,14.671875,0.7407803329988383,2014-01-01,1438701,314.24530506134033,6.562053680419922,19.2088565826416
